PLOT_YEAR,YEAR,GENOTYPE,PLOT,NTREATMENT,SUBPOPULATION,E,A,Ci,gsw,KERNELDRYWT_PERPLANT,DAYSTOSILK,AVGFLAGHT_CM
7146_2023,2023,MS200,7146,L,Broad origin-public ,0.002088976,14.72500797,239.1645325,0.100487622,33.86,76,124
7557_2023,2023,MS222,7557,H,SS-B37,0.002830926,23.61102707,255.7968848,0.171567371,12.89,101,138
7502_2023,2023,N28,7502,H,SS-BSSSC0,0.001137239,13.2860289,85.54854585,0.054899648,41.99,90,155
7218_2023,2023,N501,7218,L,SS-BSSSC0,0.001878502,20.08149379,113.8467125,0.08878809,29.06,85,150
7334_2023,2023,N501,7334,H,SS-BSSSC0,0.002384291,25.77756456,130.5775135,0.127745815,59.26,77,146
7153_2023,2023,N6,7153,L,Broad origin-public ,0.002727031,28.66079377,95.39349435,0.134373125,32.92,90,124
7484_2023,2023,N6,7484,H,Broad origin-public ,0.00170224,18.04719955,129.3651967,0.085768805,48.54,87,134
7042_2023,2023,NC232,7042,L,Mixed,0.002140583,21.29126693,173.7402815,0.118796979,75.42,89,127
7236_2023,2023,NC236,7236,L,Mixed,0.002633412,15.64448444,219.8231562,0.109522981,26.44,94,130
7237_2023,2023,NC324,7237,L,SS-B37,0.001386383,12.59432162,189.2874816,0.070125857,27.14,87,151
7539_2023,2023,NC324,7539,H,SS-B37,0.001061382,8.371649383,192.3402117,0.047207003,36.1,83,158
7506_2023,2023,ND249,7506,H,Broad origin-public ,0.00170869,3.012169496,423.3542666,0.08223908,15.2,66,83
7253_2023,2023,ND259,7253,L,Broad origin-public ,0.002671584,14.38405006,255.4920259,0.112383751,21.89,69,112
7491_2023,2023,ND259,7491,H,Broad origin-public ,0.00295553,23.54518211,215.6818434,0.155048241,30.76,74,126
7531_2023,2023,Mo44,7531,H,Broad origin-public ,0.00256016,22.91813678,196.7445013,0.136348406,15.25,93,167
7345_2023,2023,NC232,7345,H,Mixed,0.001985567,22.67394553,117.9101962,0.104872876,65.98,86,111
7119_2023,2023,PHK93,7119,L,NSS-Oh43,0.002152096,20.76069629,178.8942669,0.116416765,32.75,94,139
7426_2023,2023,H122w,7426,H,SS-B73,0.002085111,20.02133291,116.8843588,0.092027372,48.19,86,163
7106_2023,2023,Oh43,7106,L,NSS-Oh43,0.002363912,18.30966043,226.413818,0.123106572,34.03,77,112
7412_2023,2023,Oh43,7412,H,NSS-Oh43,0.001857349,27.68500023,183.9115338,0.153559545,55.15,76,132
7355_2023,2023,Oh7B,7355,H,Mixed,0.002334132,22.93453397,161.0641448,0.12848816,59.4,85,178
7260_2023,2023,Oh7B,7260,L,Mixed,0.003416891,19.10815947,298.8689499,0.156154908,63.83,91,167
7027_2023,2023,OQ601,7027,L,IDT,0.000863721,9.00996527,155.3457674,0.040012079,24.39,74,126
7311_2023,2023,OQ601,7311,H,IDT,0.002946039,22.88607488,233.8060989,0.156166144,45.34,73,148
7025_2023,2023,Pa468,7025,L,Broad origin-public ,0.002620167,15.25735289,300.527249,0.146949195,27.66,74,107
7471_2023,2023,PHEM9,7471,H,SS-B37,0.001801129,16.48165685,160.4528601,0.087682918,44.73,74,101
7094_2023,2023,PHEM9,7094,L,SS-B37,0.001589577,10.72720612,258.6063513,0.08147383,46.04,76,123
7405_2023,2023,NK807,7405,H,SS-B37,0.003321399,27.12222239,226.483699,0.185283874,52.84,69,131
7441_2023,2023,PHJ70,7441,H,Mixed,0.003221365,16.33310828,220.6879316,0.148021004,69.55,88,161
7211_2023,2023,PHJ65,7211,L,Mixed,0.001836751,13.18920155,246.4269681,0.091833937,14.95,98,162
7302_2023,2023,PHJ65,7302,H,Mixed,0.003370955,23.83802901,251.4795487,0.189284251,67.8,83,207
7259_2023,2023,PHJ70,7259,L,Mixed,0.002379274,13.94321099,151.1884399,0.099054356,47.83,83,175
7083_2023,2023,PHK56,7083,L,NSS-Oh43,0.002430754,20.9797157,204.3177913,0.128274234,35.99,83,140
7329_2023,2023,PHK56,7329,H,NSS-Oh43,0.002715706,23.93502239,198.988281,0.152967289,52.09,81,141
7432_2023,2023,PHK76,7432,H,NSS-Oh43,0.001848433,17.09924049,79.77549193,0.071822037,50.61,77,134
7529_2023,2023,PHK93,7529,H,NSS-Oh43,0.002066867,20.58868777,151.8072093,0.103855062,29.9,100,166
7183_2023,2023,PHKM5,7183,L,Mixed,0.001451973,21.97105551,5.39195,0.066038289,22.25,69,111
7235_2023,2023,PHG80,7235,L,SS-B37,0.001867515,15.55934608,202.3345815,0.092996863,38.54,75,128
7464_2023,2023,PHG80,7464,H,SS-B37,0.002455009,19.37019142,215.9428726,0.127752801,47.73,76,130
7536_2023,2023,Mo30W,7536,H,Mixed,0.001265351,12.16582679,167.6700328,0.063726535,20.08,94,164
7388_2023,2023,PHM10,7388,H,IDT,0.002209326,22.58855677,124.1846228,0.108138621,41.06,82,146
7381_2023,2023,PHN11,7381,H,IDT,0.002796629,27.04842086,174.8470699,0.150483624,48.17,74,114
7122_2023,2023,PHP60,7122,L,Mixed,0.001610587,18.05141253,108.0489876,0.081054517,35.37,88,161
7335_2023,2023,PHP60,7335,H,Mixed,0.001469685,16.69025499,95.68793977,0.069336825,70.99,85,180
7151_2023,2023,PHR25,7151,L,IDT,0.002395839,4.54596924,413.3988848,0.124744463,32.7,67,114
7305_2023,2023,PHR25,7305,H,IDT,0.003017078,16.87319553,312.5463086,0.17112558,38.8,65,117
7216_2023,2023,PHR32,7216,L,Mixed,0.001237992,11.92239602,168.7140167,0.060727085,6.47,95,161
7301_2023,2023,PHR32,7301,H,Mixed,0.002508003,30.6289391,81.25554163,0.128770073,29.69,83,166
